T,gap
0.020000000000000004,0.000479999615072916
0.023692221574249297,0.0005686128617930948
0.028066068156166187,0.0006735850955784996
0.033247375273693563,0.0007979363666778846
0.03938520908732826,0.0009452442600741938
0.046656155022255896,0.001119746822573256
0.055269398129490534,0.0013264644913733598
0.06547274133796446,0.0015713445319995767
0.07755973474262823,0.0018614321410809506
0.09187812103811749,0.0022050731365959586
0.1088398400730387,0.002612154066982815
0.12893288035581452,0.0030943866470516646
0.1527353184798066,0.0036656447039173194
0.18093195038185547,0.0043423633268841275
0.2143339929153999,0.005144011704821652
0.25390242255226164,0.0060936532545583216
0.3007756226673427,0.007218609155182055
0.35630213481837403,0.008551244378123886
0.42207945627474813,0.010129898827103237
0.5,0.011999990376822898
