s,ell,m,n,source,N,delta_max,rho,intercept_log10A,A,r_loglog,r2_loglog
-2,2,2,0,qnm,26,0.19,0.9450248420424313,0.35271077471768236,2.2527384656573624,0.9994204051907619,0.9988411463116668
-2,2,2,1,qnm,26,0.19,0.9461885036251232,0.8325725084425587,6.8009958281522165,0.9994665268342364,0.9989333382620914
-2,2,2,2,qnm,26,0.19,0.9485506547968717,1.059998668545021,11.481501015062394,0.9995503730926831,0.9991009483497221
-2,3,3,0,qnm,26,0.19,0.9482488424755907,0.3604104593825482,2.293033815711076,0.999529521621669,0.9990592645932425
-2,3,3,1,qnm,26,0.19,0.948549817265102,0.8382451131748431,6.8904107723128325,0.9995400145162311,0.9990802406191075
-2,4,4,0,qnm,26,0.19,0.9520412932681054,0.37006492171248284,2.344579275045808,0.9996142285748775,0.9992286059693474
