T,gap
0.020000000000000004,0.00047999916563212883
0.023692221574249297,0.0005686123293805591
0.028066068156166187,0.0006735844648767114
0.033247375273693563,0.000797935619541559
0.03938520908732826,0.000945243375008225
0.046656155022255896,0.0011197457741143042
0.055269398129490534,0.0013264632493572698
0.06547274133796446,0.0015713430606935563
0.07755973474262823,0.001861430398155539
0.09187812103811749,0.0022050710719072066
0.1088398400730387,0.002612151621129645
0.12893288035581452,0.003094383749666903
0.1527353184798066,0.003665641271643231
0.18093195038185547,0.0043423592609742176
0.2143339929153999,0.005144006888299728
0.25390242255226164,0.006093647548853089
0.3007756226673427,0.0072186023961404245
0.35630213481837403,0.008551236371288289
0.42207945627474813,0.010129889342117084
0.5,0.011999979140803219
