chi,ell,m,n,Rew,Imw,source,note
0.0,2,2,1,0.34671099687916285,-0.27391487529123504,qnm,s=-2 from qnm package
0.003860617760617761,2,2,1,0.34726759526803547,-0.2738653231385505,qnm,s=-2 from qnm package
0.007721235521235522,2,2,1,0.3478264707949882,-0.27381525648168414,qnm,s=-2 from qnm package
0.011581853281853283,2,2,1,0.3483876405110914,-0.27376467055035125,qnm,s=-2 from qnm package
0.015442471042471043,2,2,1,0.34895112166380177,-0.27371356050868106,qnm,s=-2 from qnm package
0.019303088803088803,2,2,1,0.34951693170002035,-0.2736619214540967,qnm,s=-2 from qnm package
0.023163706563706567,2,2,1,0.3500850882691862,-0.2736097484161768,qnm,s=-2 from qnm package
0.027024324324324327,2,2,1,0.35065560922642275,-0.2735570363554749,qnm,s=-2 from qnm package
0.030884942084942087,2,2,1,0.3512285126357833,-0.2735037801623329,qnm,s=-2 from qnm package
0.03474555984555985,2,2,1,0.3518038167735176,-0.27344997465565607,qnm,s=-2 from qnm package
0.03860617760617761,2,2,1,0.3523815401314348,-0.27339561458167083,qnm,s=-2 from qnm package
0.04246679536679537,2,2,1,0.3529617014202954,-0.2733406946126435,qnm,s=-2 from qnm package
0.04632741312741313,2,2,1,0.3535443195733164,-0.2732852093455824,qnm,s=-2 from qnm package
0.05018803088803089,2,2,1,0.35412941374971935,-0.27322915330090974,qnm,s=-2 from qnm package
0.05404864864864865,2,2,1,0.35471700333831324,-0.27317252092108885,qnm,s=-2 from qnm package
0.05790926640926641,2,2,1,0.35530710796123643,-0.27311530656924626,qnm,s=-2 from qnm package
0.06176988416988417,2,2,1,0.3558997474777037,-0.2730575045277467,qnm,s=-2 from qnm package
0.06563050193050193,2,2,1,0.35649494198781995,-0.2729991089967324,qnm,s=-2 from qnm package
0.0694911196911197,2,2,1,0.35709271183653557,-0.2729401140926423,qnm,s=-2 from qnm package
0.07335173745173745,2,2,1,0.3576930776176215,-0.27288051384668816,qnm,s=-2 from qnm package
0.07721235521235521,2,2,1,0.3582960601777483,-0.2728203022033057,qnm,s=-2 from qnm package
0.08107297297297297,2,2,1,0.35890168062066696,-0.2727594730185596,qnm,s=-2 from qnm package
0.08493359073359073,2,2,1,0.35950996031142096,-0.27269802005851507,qnm,s=-2 from qnm package
0.08879420849420849,2,2,1,0.3601209208807036,-0.27263593699757765,qnm,s=-2 from qnm package
0.09265482625482627,2,2,1,0.36073458422927707,-0.27257321741678914,qnm,s=-2 from qnm package
0.09651544401544403,2,2,1,0.36135097253247755,-0.2725098548020902,qnm,s=-2 from qnm package
