T,gap
0.020000000000000004,2.8000000034444306e-06
0.023692221574249297,4.654632544043014e-06
0.028066068156166187,7.737715747647256e-06
0.033247375273693563,1.2862936961159819e-05
0.03938520908732826,2.138294461347721e-05
0.046656155022255896,3.554633920104408e-05
0.055269398129490534,5.909112395115587e-05
0.06547274133796446,9.823123866742113e-05
0.07755973474262823,0.0001632965427787753
0.09187812103811749,0.0002714590719331353
0.1088398400730387,0.0004512650818004757
0.12893288035581452,0.0007501689761267225
0.1527353184798066,0.0012470574733983812
0.18093195038185547,0.0020730693902970042
0.2143339929153999,0.0034462057993805795
0.25390242255226164,0.005728864874119265
0.3007756226673427,0.009523486018106228
0.35630213481837403,0.015831545677887568
0.42207945627474813,0.02631786701576749
0.5,0.0437500000538192
