T,gap
0.020000000000000004,2.7999951328540858e-06
0.023692221574249297,4.654624447325764e-06
0.028066068156166187,7.737702287917411e-06
0.033247375273693563,1.2862914586125358e-05
0.03938520908732826,2.1382907417918837e-05
0.046656155022255896,3.5546277368309684e-05
0.055269398129490534,5.909102116234965e-05
0.06547274133796446,9.82310677945204e-05
0.07755973474262823,0.00016329625872500258
0.09187812103811749,0.00027145859973101634
0.1088398400730387,0.0004512642968264229
0.12893288035581452,0.0007501676712103769
0.1527353184798066,0.001247055304146209
0.18093195038185547,0.002073065784199953
0.2143339929153999,0.0034461998047174824
0.25390242255226164,0.005728854908778583
0.3007756226673427,0.009523469452035159
0.35630213481837403,0.01583151813896849
0.42207945627474813,0.026317821235928626
0.5,0.043749923950845065
