T,gap
0.020000000000000004,2.7999977520565807e-06
0.023692221574249297,4.654628801406178e-06
0.028066068156166187,7.737709526004685e-06
0.033247375273693563,1.286292661849555e-05
0.03938520908732826,2.1382927420155198e-05
0.046656155022255896,3.554631061940262e-05
0.055269398129490534,5.9091076437927894e-05
0.06547274133796446,9.823115968291509e-05
0.07755973474262823,0.00016329641147739963
0.09187812103811749,0.00027145885366182973
0.1088398400730387,0.0004512647189530753
0.12893288035581452,0.0007501683729405381
0.1527353184798066,0.0012470564706805096
0.18093195038185547,0.002073067723410136
0.2143339929153999,0.003446203028399917
0.25390242255226164,0.005728860267727566
0.3007756226673427,0.009523478360584555
0.35630213481837403,0.01583153294826273
0.42207945627474813,0.026317845854436788
0.5,0.04374996487588405
