bin,Delta_lo,Delta_hi,Delta_med,N,R_median,R_p16,R_p84
0,0.00019998999999989997,0.0007880564800396213,0.00039699296649064835,6,6.251765833034246,3.1258264383478407,10.62816301786496
2,0.003105320344680977,0.012236450923675863,0.0061642598906909325,6,6.089950391471507,3.0440055812042,10.35112007762035
3,0.012236450923675863,0.04821748308962646,0.024290139264511946,30,5.87007111752548,2.9393571199519752,11.012484368478248
4,0.04821748308962646,0.19,0.09571479398206438,114,5.506413987440837,2.7625884168471644,13.196690316578476
